City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Sao Paulo,UberX,COMPLETED,2023-04-07 16:37:15 +0000 UTC,2023-04-07 16:56:15 +0000 UTC,-23.512066,-46.52024,"Rua Manuel Leiroz, 297 - Cangaiba - São Paulo - SP, 03735-180",2023-04-07 17:26:53 +0000 UTC,-23.468283,-46.61097,"Rua Otávio Lopes Castelo Branco, 40 - Tucuruvi - São Paulo - SP, 02345-020",10.43,29.92,BRL
Sao Paulo,UberX,COMPLETED,2023-04-05 21:47:48 +0000 UTC,2023-04-05 21:52:10 +0000 UTC,-23.531462,-46.530106,Estação Vila Matilde,2023-04-05 22:05:43 +0000 UTC,-23.512102,-46.52017,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2.08,24.91,BRL
Sao Paulo,UberX,COMPLETED,2023-04-03 03:49:01 +0000 UTC,2023-04-03 03:55:02 +0000 UTC,-23.468185,-46.611042,"Rua Otávio Lopes Castelo Branco, 40 - Tucuruvi - São Paulo - SP, 02345-020",2023-04-03 04:19:07 +0000 UTC,-23.511942,-46.52028,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",11.79,44.92,BRL
Sao Paulo,UberX,COMPLETED,2023-04-02 14:42:23 +0000 UTC,2023-04-02 14:44:48 +0000 UTC,-23.51198,-46.52027,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2023-04-02 15:25:00 +0000 UTC,-23.468185,-46.611027,"Rua Otávio Lopes Castelo Branco, 40 - Tucuruvi - São Paulo - SP, 02345-020",10.03,29.94,BRL
Sao Paulo,UberX,COMPLETED,2023-03-25 21:12:02 +0000 UTC,2023-03-25 21:16:03 +0000 UTC,-23.614323,-46.661892,"Avenida Miruna, 561 - Moema - São Paulo - SP, 04084-002",2023-03-25 21:59:25 +0000 UTC,-23.511997,-46.520195,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",16.29,49.97,BRL
Sao Paulo,UberX,COMPLETED,2023-03-25 15:01:03 +0000 UTC,2023-03-25 15:04:37 +0000 UTC,-23.511951,-46.520313,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2023-03-25 16:14:56 +0000 UTC,-23.61431,-46.661922,"Avenida Miruna, 561 - Moema - São Paulo - SP, 04084-002",14.52,44.97,BRL
Sao Paulo,UberX,COMPLETED,2023-03-16 16:42:29 +0000 UTC,2023-03-16 16:47:41 +0000 UTC,-23.564201,-46.504555,"Avenida Particular, 668 - Cidade Líder - São Paulo - SP, 03571",2023-03-16 17:08:16 +0000 UTC,-23.511993,-46.52022,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",5.24,24.9,BRL
Sao Paulo,UberX,COMPLETED,2023-03-16 15:30:20 +0000 UTC,2023-03-16 15:38:28 +0000 UTC,-23.511938,-46.520226,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2023-03-16 16:11:05 +0000 UTC,-23.563974,-46.502594,"Av. Aricanduva, 5555 - Vila Matilde - São Paulo - SP, 03527-900",6.39,26.95,BRL
Sao Paulo,UberX,COMPLETED,2023-03-06 00:25:09 +0000 UTC,2023-03-06 00:32:27 +0000 UTC,-23.64614,-46.640053,"Avenida Engenheiro Armando de Arruda Pereira, 1897 - Jabaquara - São Paulo - SP, 04309-010",2023-03-06 01:24:35 +0000 UTC,-23.512012,-46.5202,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",17.81,69.97,BRL
Sao Paulo,UberX,COMPLETED,2023-03-04 23:52:19 +0000 UTC,2023-03-05 00:00:30 +0000 UTC,-23.516666,-46.639397,Centro de Convenções Anhembi,2023-03-05 00:43:08 +0000 UTC,-23.531528,-46.529987,- Vila Esperança - São Paulo - SP,13.44,52.85,BRL
Sao Paulo,UberX,COMPLETED,2023-03-04 20:19:10 +0000 UTC,2023-03-04 20:24:20 +0000 UTC,-23.512026,-46.520306,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2023-03-04 20:46:32 +0000 UTC,-23.515297,-46.650265,"Rua Professor Mílton Rodrigues, 100 - Santana - São Paulo - SP, 02009-040",10.34,33.93,BRL
Sao Paulo,UberX,COMPLETED,2023-02-13 23:20:18 +0000 UTC,2023-02-13 23:24:36 +0000 UTC,-23.510452,-46.507652,"Av. São Miguel, 2409 - Vila Marieta - São Paulo - SP, 03619-100",2023-02-13 23:29:20 +0000 UTC,-23.511978,-46.520176,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",1.07,8.96,BRL
Sao Paulo,UberX,COMPLETED,2023-02-04 23:46:56 +0000 UTC,2023-02-04 23:53:57 +0000 UTC,-23.51193,-46.52032,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2023-02-05 00:42:54 +0000 UTC,-23.55726,-46.34797,"Rua Gaudêncio Romano, 51 - Poá - Poá - SP, 08568-500",14.91,54.95,BRL
Sao Paulo,UberX,COMPLETED,2023-01-03 17:21:53 +0000 UTC,2023-01-03 17:23:57 +0000 UTC,-23.510427,-46.507793,"Av. São Miguel, 2409 - Vila Marieta - São Paulo - SP, 03619-100",2023-01-03 17:29:02 +0000 UTC,-23.511946,-46.520252,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",0.93,8.97,BRL
Sao Paulo,UberX,COMPLETED,2022-12-06 23:14:43 +0000 UTC,2022-12-06 23:18:27 +0000 UTC,-23.51046,-46.50788,"Av. São Miguel, 2409 - Vila Marieta - São Paulo - SP, 03619-100",2022-12-06 23:23:26 +0000 UTC,-23.511961,-46.520313,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",0.93,17.92,BRL
Sao Paulo,UberX,COMPLETED,2022-12-04 05:42:18 +0000 UTC,2022-12-04 05:49:05 +0000 UTC,-23.468037,-46.611298,"Rua Luís Augusto de Oliveira, 366 - Tucuruvi - São Paulo - SP, 02344-040",2022-12-04 06:49:46 +0000 UTC,-23.599854,-46.45186,"Rua Francisco de Melo Palheta, 815 - Iguatemi - São Paulo - SP, 08341-280",23.02,74.96,BRL
Sao Paulo,UberX,COMPLETED,2022-12-03 21:33:18 +0000 UTC,2022-12-03 21:37:30 +0000 UTC,-23.512018,-46.520267,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2022-12-03 22:13:37 +0000 UTC,-23.468166,-46.611065,"Rua Otávio Lopes Castelo Branco, 40 - Tucuruvi - São Paulo - SP, 02345-020",10.74,49.94,BRL
Sao Paulo,UberX,COMPLETED,2022-11-19 20:49:29 +0000 UTC,2022-11-19 20:55:30 +0000 UTC,-23.53132,-46.53002,Estação Vila Matilde,2022-11-19 21:04:58 +0000 UTC,-23.5119,-46.52025,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2.22,14.9,BRL
Sao Paulo,UberX,COMPLETED,2022-11-19 16:31:47 +0000 UTC,2022-11-19 16:39:36 +0000 UTC,-23.511925,-46.520344,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2022-11-19 16:54:39 +0000 UTC,-23.531717,-46.543484,"Av. Conde de Frontin, S/N - Penha de Franca - São Paulo - SP, 03644-070",2.89,19.9,BRL
Sao Paulo,UberX,COMPLETED,2022-11-16 10:07:44 +0000 UTC,2022-11-16 10:19:18 +0000 UTC,-23.511982,-46.520348,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2022-11-16 10:33:48 +0000 UTC,-23.531187,-46.53091,- Vila Esperança - São Paulo - SP,2.18,19.92,BRL
Sao Paulo,UberX,COMPLETED,2022-09-27 01:39:28 +0000 UTC,2022-09-27 01:45:48 +0000 UTC,-23.42559,-46.482925,Terminal 2,2022-09-27 02:11:20 +0000 UTC,-23.512045,-46.520256,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",13.38,54.9,BRL
Sao Paulo,UberX,COMPLETED,2022-09-22 22:06:28 +0000 UTC,2022-09-22 22:13:54 +0000 UTC,-23.512041,-46.520252,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2022-09-22 22:38:27 +0000 UTC,-23.425814,-46.479935,"Rod. Hélio Smidt, s/nº - Aeroporto, Guarulhos - SP, 07190-100, Brasil",12.39,39.91,BRL
Sao Paulo,UberX,COMPLETED,2022-09-03 00:41:14 +0000 UTC,2022-09-03 00:42:22 +0000 UTC,-23.531372,-46.53027,Estação Vila Matilde,2022-09-03 00:52:20 +0000 UTC,-23.512014,-46.52028,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2.10,14.97,BRL
Sao Paulo,UberX,COMPLETED,2022-09-02 10:05:18 +0000 UTC,2022-09-02 10:12:48 +0000 UTC,-23.511986,-46.520313,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2022-09-02 10:24:51 +0000 UTC,-23.531424,-46.529976,- Vila Esperança - São Paulo - SP,2.30,14.99,BRL
Sao Paulo,UberX,COMPLETED,2022-07-30 02:34:48 +0000 UTC,2022-07-30 02:37:16 +0000 UTC,-23.531374,-46.530235,Estação Vila Matilde,2022-07-30 02:44:43 +0000 UTC,-23.511972,-46.520252,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2.21,11.9,BRL
Sao Paulo,UberX,COMPLETED,2022-07-14 02:32:10 +0000 UTC,2022-07-14 02:34:01 +0000 UTC,-23.531376,-46.53016,Estação Vila Matilde,2022-07-14 02:42:02 +0000 UTC,-23.51198,-46.520283,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2.11,12.92,BRL
Sao Paulo,UberX,COMPLETED,2022-04-28 15:56:04 +0000 UTC,2022-04-28 16:01:29 +0000 UTC,-23.520704,-46.42328,"Rua Cambacica, 338 - Vila Curuçá - São Paulo - SP, 08032-440",2022-04-28 16:17:44 +0000 UTC,-23.507425,-46.452187,"Rua Flor de Natal, 56 - Vila Jacuí - São Paulo - SP, 08050-230",3.03,16.92,BRL
Sao Paulo,UberX,COMPLETED,2022-02-26 20:06:01 +0000 UTC,2022-02-26 20:10:55 +0000 UTC,-23.511946,-46.52027,"Rua Manuel Leiroz, 297 - Vila Penteado, São Paulo - SP, 03735-180, Brasil",2022-02-26 20:51:57 +0000 UTC,-23.599895,-46.45184,"R. Francisco de Melo Palheta, 812 - Parque Boa Esperança, São Paulo - SP, 08341-280, Brasil",11.19,49.97,BRL
Sao Paulo,UberX,COMPLETED,2022-02-23 14:19:13 +0000 UTC,2022-02-23 14:26:37 +0000 UTC,-23.511917,-46.520252,"Rua Manuel Leiroz, 297 - Vila Penteado, São Paulo - SP, 03735-180, Brasil",2022-02-23 14:51:29 +0000 UTC,-23.426172,-46.483086,"Terminal 2, Aeroporto Internacional de São Paulo (GRU) - Cumbica - Guarulhos - SP, 07190-100",8.98,33.93,BRL
Sao Paulo,UberX,COMPLETED,2022-02-19 20:11:19 +0000 UTC,2022-02-19 20:14:46 +0000 UTC,-23.599794,-46.451817,"R. Francisco de Melo Palheta, 815 - Parque Boa Esperança, São Paulo - SP, 08341-280, Brasil",2022-02-19 20:53:10 +0000 UTC,-23.511942,-46.52026,"Rua Manuel Leiroz, 297 - Vila Penteado, São Paulo - SP, 03735-180, Brasil",14.22,34.91,BRL
